TimelineLabel,name,bins,countMutations
Dec-21,aa.geqpt1,Rest,1
Dec-21,nt.geq1,Rest,0
Dec-21,nt.geqpt01,Rest,0
Dec-21,nt.geqpt1,Rest,0
Jan-22,aa.geq1,Rest,0
Jan-22,aa.geqpt01,Rest,1
Jan-22,aa.geqpt1,Rest,0
Jan-22,nt.geq1,Rest,0
Jan-22,nt.geqpt01,Rest,0
Jan-22,nt.geqpt1,Rest,0
Feb-22,aa.geq1,Rest,0
Feb-22,aa.geqpt01,Rest,1
Feb-22,aa.geqpt1,Rest,0
Feb-22,nt.geq1,Rest,0
Feb-22,nt.geqpt01,Rest,0
Feb-22,nt.geqpt1,Rest,0
Mar-22,aa.geq1,Rest,0
Mar-22,aa.geqpt01,Rest,0
Mar-22,aa.geqpt1,Rest,0
Mar-22,nt.geq1,Rest,0
Mar-22,nt.geqpt01,Rest,0
Mar-22,nt.geqpt1,Rest,0
Apr-22,aa.geq1,Rest,0
Apr-22,aa.geqpt01,Rest,1
Apr-22,aa.geqpt1,Rest,0
Apr-22,nt.geq1,Rest,0
Apr-22,nt.geqpt01,Rest,0
Apr-22,nt.geqpt1,Rest,0
May-22,aa.geq1,Rest,0
May-22,aa.geqpt01,Rest,0
May-22,aa.geqpt1,Rest,0
May-22,nt.geq1,Rest,0
May-22,nt.geqpt01,Rest,0
May-22,nt.geqpt1,Rest,0
Jun-22,aa.geq1,Rest,0
Jun-22,aa.geqpt01,Rest,0
Jun-22,aa.geqpt1,Rest,0
Jun-22,nt.geq1,Rest,0
Jun-22,nt.geqpt01,Rest,0
Jun-22,nt.geqpt1,Rest,0
Jul-22,aa.geq1,Rest,0
Jul-22,aa.geqpt01,Rest,1
Jul-22,aa.geqpt1,Rest,1
Jul-22,nt.geq1,Rest,0
Jul-22,nt.geqpt01,Rest,0
Jul-22,nt.geqpt1,Rest,0
Aug-22,aa.geq1,Rest,0
Aug-22,aa.geqpt01,Rest,1
Aug-22,aa.geqpt1,Rest,1
Aug-22,nt.geq1,Rest,0
Aug-22,nt.geqpt01,Rest,0
Aug-22,nt.geqpt1,Rest,0
Sep-22,aa.geq1,Rest,0
Sep-22,aa.geqpt01,Rest,0
Sep-22,aa.geqpt1,Rest,0
Sep-22,nt.geq1,Rest,0
Sep-22,nt.geqpt01,Rest,0
Sep-22,nt.geqpt1,Rest,0
Oct-22,aa.geq1,Rest,0
Oct-22,aa.geqpt01,Rest,0
Oct-22,aa.geqpt1,Rest,0
Oct-22,nt.geq1,Rest,0
Oct-22,nt.geqpt01,Rest,0
Oct-22,nt.geqpt1,Rest,0
Nov-22,aa.geq1,Rest,0
Nov-22,aa.geqpt01,Rest,0
Nov-22,aa.geqpt1,Rest,0
Nov-22,nt.geq1,Rest,0
Nov-22,nt.geqpt01,Rest,0
Nov-22,nt.geqpt1,Rest,0
Dec-22,aa.geq1,Rest,0
Dec-22,aa.geqpt01,Rest,0
Dec-22,aa.geqpt1,Rest,0
Dec-22,nt.geq1,Rest,0
Dec-22,nt.geqpt01,Rest,0
Dec-22,nt.geqpt1,Rest,0
Jan-23,aa.geq1,Rest,0
Jan-23,aa.geqpt01,Rest,0
Jan-23,aa.geqpt1,Rest,0
Jan-23,nt.geq1,Rest,0
Jan-23,nt.geqpt01,Rest,0
Jan-23,nt.geqpt1,Rest,0
Feb-23,aa.geq1,Rest,0
Feb-23,aa.geqpt01,Rest,0
Feb-23,aa.geqpt1,Rest,0
Feb-23,nt.geq1,Rest,0
Feb-23,nt.geqpt01,Rest,0
Feb-23,nt.geqpt1,Rest,0
Mar-23,aa.geq1,Rest,0
Mar-23,aa.geqpt01,Rest,0
Mar-23,aa.geqpt1,Rest,0
Mar-23,nt.geq1,Rest,0
Mar-23,nt.geqpt01,Rest,0
Mar-23,nt.geqpt1,Rest,0
Apr-23,aa.geq1,Rest,0
Apr-23,aa.geqpt01,Rest,0
Apr-23,aa.geqpt1,Rest,0
Apr-23,nt.geq1,Rest,0
Apr-23,nt.geqpt01,Rest,0
Apr-23,nt.geqpt1,Rest,0
May-23,aa.geq1,Rest,0
May-23,aa.geqpt01,Rest,0
May-23,aa.geqpt1,Rest,0
May-23,nt.geq1,Rest,0
May-23,nt.geqpt01,Rest,0
May-23,nt.geqpt1,Rest,0
Jun-23,aa.geq1,Rest,0
Jun-23,aa.geqpt01,Rest,0
Jun-23,aa.geqpt1,Rest,0
Jun-23,nt.geq1,Rest,0
Jun-23,nt.geqpt01,Rest,0
Jun-23,nt.geqpt1,Rest,0
Jul-23,aa.geq1,Rest,0
Jul-23,aa.geqpt01,Rest,1
Jul-23,aa.geqpt1,Rest,1
Jul-23,nt.geq1,Rest,0
Jul-23,nt.geqpt01,Rest,0
Jul-23,nt.geqpt1,Rest,0
Aug-23,aa.geq1,Rest,0
Aug-23,aa.geqpt01,Rest,0
Aug-23,aa.geqpt1,Rest,0
Aug-23,nt.geq1,Rest,0
Aug-23,nt.geqpt01,Rest,0
Aug-23,nt.geqpt1,Rest,0
Sep-23,aa.geq1,Rest,0
Sep-23,aa.geqpt01,Rest,0
Sep-23,aa.geqpt1,Rest,0
Sep-23,nt.geq1,Rest,0
Sep-23,nt.geqpt01,Rest,0
Sep-23,nt.geqpt1,Rest,0
Oct-23,aa.geq1,Rest,0
Oct-23,aa.geqpt01,Rest,0
Oct-23,aa.geqpt1,Rest,0
Oct-23,nt.geq1,Rest,0
Oct-23,nt.geqpt01,Rest,0
Oct-23,nt.geqpt1,Rest,0
Nov-23,aa.geq1,Rest,0
Nov-23,aa.geqpt01,Rest,0
Nov-23,aa.geqpt1,Rest,0
Nov-23,nt.geq1,Rest,0
Nov-23,nt.geqpt01,Rest,0
